"id","code","description","name","type"
"__export__.education_subject_1_a435da97","Eng1st","","English 1st paper","Compulsory"
"__export__.education_subject_3_199d28d4","math","","Math","Compulsory"
"__export__.education_subject_4_783a1afc","geo","","Geography","Compulsory"
"__export__.education_subject_5_d459b99b","physics","","Physics","Compulsory"
"__export__.education_subject_6_2b91b33b","chemistry","","Chemestry","Compulsory"
"__export__.education_subject_7_b1a9bb4f","biology","","Biology","Compulsory"
"__export__.education_subject_8_02b3df67","bangla1st","","Bengla 1st paper","Compulsory"
"__export__.education_subject_9_fa2d3192","bangla 2nd","","Bangla 2nd paper","Compulsory"
"__export__.education_subject_10_8578770a","english grammar","","English Grammer","Compulsory"
"__export__.education_subject_11_88579772","","","Chemistry Practical","Compulsory"
